location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,5,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,0,4,2,2,0,3,0,1,9,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,5,6,6,4,4,4,4,4,4,5,4,4,2,0,3,0,1,9,9,0,1,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,6,6,6,6,6,4,4,4,5,4,4,4,4,4,0,1,9,9,0,1,5,4,5,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,6,6,6,6,6,5,6,6,5,4,4,4,4,4,5,4,4,9,0,1,5,4,5,9,0,4,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,6,6,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,9,0,4,9,5,8,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,9,0,4,9,5,8,9,0,5,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,9,5,8,9,0,5,9,1,0,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,4,4,4,9,0,5,9,1,0,0,7,6,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,9,1,0,0,7,6,8,6,4,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,5,5,5,6,4,4,4,4,4,5,5,5,4,7,6,8,6,4,9,2,7,0,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,5,6,5,5,5,4,4,5,5,5,4,5,5,5,6,4,9,2,7,0,9,0,6,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,7,0,9,0,6,9,6,5,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,0,6,9,6,5,8,3,4,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Door_Start,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,6,9,6,5,8,3,4,9,9,9,3,3,3,3,3,3,3,4,4,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,4,4,8,8,6,5,5,5,5,5,6,3,3,4,8,3,4,9,9,9,0,9,9,3,3,3,3,4,4,4,3,3,False,False,False,False,False,False,False,False,False
Door,5,4,4,8,8,6,6,6,6,5,5,6,3,3,4,4,4,4,9,9,9,0,9,9,5,9,9,3,4,4,4,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Door,8,8,6,6,6,6,6,5,5,3,3,4,4,4,4,4,5,5,0,9,9,5,9,9,9,9,9,4,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,9,9,9,9,9,9,8,9,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,8,9,9,7,8,9,3,3,3,3,3,3,4,4,4,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,9,9,7,8,9,0,3,0,3,3,3,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,8,9,0,3,0,1,3,9,9,4,4,4,4,4,4,5,5,5,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,5,5,5,4,2,2,5,5,5,5,5,5,6,7,8,5,3,0,1,3,9,9,9,9,0,4,4,4,5,5,5,6,6,6,False,False,False,False,False,False,False,False,False
Wall,5,5,4,2,2,5,8,7,6,5,5,6,7,8,5,2,3,4,3,9,9,9,9,0,0,9,9,5,5,5,6,6,6,6,5,5,False,False,False,False,False,False,False,False,False
Wall,2,2,5,8,7,6,7,6,6,7,8,5,2,3,4,4,4,4,9,9,0,0,9,9,0,9,9,6,6,6,6,5,5,5,5,5,False,False,False,False,False,False,False,False,False
Wall,8,7,6,7,6,6,6,6,6,2,3,4,4,4,4,4,4,4,0,9,9,0,9,9,0,2,6,6,5,5,5,5,5,5,5,5,False,False,False,False,False,False,False,False,False
Wall,7,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,9,9,0,2,6,9,9,0,5,5,5,5,5,5,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,2,6,9,9,0,9,3,9,5,5,5,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,9,9,0,9,3,9,9,9,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,3,9,9,9,9,9,5,9,7,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,9,9,9,5,9,7,5,2,4,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,7,5,2,4,2,6,2,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,6,2,5,3,5,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,4,4,2,6,2,5,3,5,0,4,0,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,3,5,0,4,0,4,3,0,2,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,0,4,3,0,2,0,9,5,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,3,0,2,0,9,5,0,7,4,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,9,5,0,7,4,6,3,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,5,0,7,4,6,3,9,9,9,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,6,3,9,9,9,9,9,8,3,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,9,9,9,9,8,3,5,6,7,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,8,3,5,6,7,7,4,1,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,4,1,8,2,3,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,4,1,8,2,3,3,1,0,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,4,4,8,2,3,3,1,0,3,0,2,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,1,0,3,0,2,5,4,0,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,5,3,0,2,5,4,0,6,0,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door_Start,6,6,6,6,6,5,3,4,9,4,4,4,4,4,5,6,6,2,5,4,0,6,0,9,9,0,0,4,4,4,4,4,4,4,5,4,False,False,False,False,False,False,False,False,False
Door,6,6,5,3,4,9,9,8,8,4,4,5,6,6,2,2,2,3,6,0,9,9,0,0,9,9,9,4,4,4,4,5,4,4,3,3,False,False,False,False,False,False,False,False,False
Door,3,4,9,9,8,8,8,7,7,6,6,2,2,2,3,3,3,3,9,0,0,9,9,9,9,9,9,4,5,4,4,3,3,2,2,2,False,False,False,False,False,False,False,False,False
Door,9,8,8,8,7,7,7,7,7,2,2,3,3,3,3,3,3,4,9,9,9,9,9,9,9,9,9,4,3,3,2,2,2,2,1,1,False,False,False,False,False,False,False,False,False
Door,8,7,7,7,7,7,6,6,6,3,3,3,3,3,4,4,4,4,9,9,9,9,9,9,9,4,9,2,2,2,2,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,7,7,7,6,6,6,5,5,5,3,3,4,4,4,4,5,5,5,9,9,9,9,4,9,9,7,9,2,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,9,4,9,9,7,9,9,9,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,6,9,7,9,9,9,9,9,9,9,1,1,1,1,1,1,1,2,2,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,4,4,3,4,4,0,0,5,5,5,5,6,6,6,9,9,9,9,9,9,9,0,9,9,5,1,1,1,2,2,2,2,3,4,False,False,False,False,False,False,False,True,False
Wall,3,4,4,0,0,6,5,2,4,6,6,6,9,9,4,5,7,6,9,0,9,9,5,0,9,9,0,2,2,2,3,4,4,4,5,5,False,False,False,True,False,False,False,False,False
Door_Start,0,0,6,5,2,4,5,5,7,9,9,4,5,7,6,5,5,3,9,5,0,9,9,0,0,1,0,3,4,4,4,5,5,5,5,5,True,False,False,False,False,False,False,False,False
Door,5,2,4,5,5,7,9,8,8,5,7,6,5,5,3,2,2,3,9,9,0,0,1,0,0,9,9,4,5,5,5,5,5,4,4,4,False,False,False,False,False,False,False,False,False
Door,5,5,7,9,8,8,7,7,7,5,5,3,2,2,3,3,3,3,0,1,0,0,9,9,9,9,9,5,5,5,4,4,4,3,3,3,False,False,False,False,False,False,False,False,False
Door,9,8,8,7,7,7,7,7,7,2,2,3,3,3,3,3,3,3,0,9,9,9,9,9,9,5,9,4,4,4,3,3,3,2,2,2,False,False,False,False,False,False,False,False,False
Door,7,7,7,7,7,7,7,7,6,3,3,3,3,3,3,4,4,4,9,9,9,9,5,9,9,9,9,3,3,3,2,2,2,2,2,1,False,False,False,False,False,False,False,False,False
Door,7,7,7,7,7,6,6,6,6,3,3,3,4,4,4,4,4,4,9,5,9,9,9,9,9,0,9,2,2,2,2,2,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,7,7,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,9,9,9,9,0,9,9,6,9,2,2,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,5,5,9,0,9,9,6,9,9,9,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,6,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,9,6,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,5,5,5,4,3,2,0,5,5,5,5,5,5,7,7,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,2,3,False,False,False,False,False,False,False,False,False
Wall,5,5,4,3,2,0,4,4,3,5,5,5,7,7,9,6,6,7,9,9,9,9,9,9,0,9,9,1,1,1,2,2,3,4,4,4,False,False,False,False,False,False,False,False,False
Wall,3,2,0,4,4,3,4,4,4,7,7,9,6,6,7,6,6,5,9,9,9,0,9,9,0,2,0,2,2,3,4,4,4,5,5,5,False,False,False,False,False,False,False,False,False
Wall,4,4,3,4,4,4,5,5,5,6,6,7,6,6,5,5,5,5,0,9,9,0,2,0,0,1,0,4,4,4,5,5,5,5,5,5,False,False,False,False,False,False,False,False,False
Wall,4,4,4,5,5,5,6,6,6,6,6,5,5,5,5,4,4,4,0,2,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,False,False,False,False,False,False,False,False,False
Wall,5,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,0,1,0,0,0,0,0,0,7,5,5,5,5,5,5,5,5,5,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,0,0,0,7,8,9,9,9,5,5,5,5,5,5,4,4,4,False,False,False,False,False,False,False,False,False
