location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,0,9,9,2,0,0,0,1,1,1,1,1,1,1,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,0,0,0,1,2,4,0,1,1,1,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,1,2,4,0,0,3,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,4,5,4,2,4,0,0,3,0,1,8,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,6,5,6,6,6,6,5,5,5,4,5,4,4,4,4,0,3,0,1,8,0,4,5,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,8,0,4,5,0,5,4,5,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5,0,5,4,5,0,5,6,6,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,5,4,5,0,5,6,6,8,0,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,5,5,5,4,4,4,4,4,5,5,5,5,5,6,6,8,0,9,9,0,6,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,8,0,9,9,0,6,9,1,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,0,6,9,1,0,8,2,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,4,4,5,9,1,0,8,2,0,0,5,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,8,2,0,0,5,9,9,2,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,0,5,9,9,2,9,9,2,5,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,9,9,2,5,9,3,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,5,9,3,9,9,1,0,2,2,2,2,2,2,2,2,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,3,9,9,1,0,0,5,0,2,2,2,2,2,3,3,3,3,False,False,False,False,False,False,False,False,False
Door_Start,5,5,5,5,5,5,4,4,7,5,5,5,5,5,5,6,6,3,9,1,0,0,5,0,9,9,0,2,2,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Door,5,5,5,4,4,7,8,8,7,5,5,5,6,6,3,2,3,3,0,5,0,9,9,0,0,9,9,3,3,3,3,3,3,3,2,2,False,False,False,False,False,False,False,False,False
Door,4,4,7,8,8,7,7,7,7,6,6,3,2,3,3,3,3,4,9,9,0,0,9,9,9,7,9,3,3,3,3,2,2,2,1,1,False,False,False,False,False,False,False,False,False
Door,8,8,7,7,7,7,6,6,6,2,3,3,3,3,4,4,4,4,0,9,9,9,7,9,9,9,9,3,2,2,2,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,7,7,7,6,6,6,6,6,5,3,3,4,4,4,4,4,4,5,9,7,9,9,9,9,9,7,9,2,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,9,9,9,9,7,9,9,9,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,9,7,9,9,9,9,9,5,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,9,9,9,9,5,9,9,5,9,1,1,1,1,1,1,2,2,2,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,5,5,5,4,4,3,2,5,5,5,5,5,5,6,6,7,9,5,9,9,5,9,9,9,9,1,1,1,2,2,2,2,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,4,4,3,2,1,2,7,5,5,5,6,6,7,8,7,4,9,5,9,9,9,9,9,0,0,2,2,2,2,3,3,4,4,4,False,False,False,False,False,False,False,False,False
Wall,4,3,2,1,2,7,7,7,7,6,6,7,8,7,4,3,3,3,9,9,9,9,0,0,0,9,9,2,3,3,4,4,4,4,4,3,False,False,False,False,False,False,False,False,False
Wall,1,2,7,7,7,7,7,7,7,8,7,4,3,3,3,3,3,3,9,0,0,0,9,9,0,9,9,4,4,4,4,4,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,4,4,4,0,9,9,0,9,9,9,6,2,4,4,3,3,3,3,2,2,2,False,False,False,False,False,False,False,False,False
Wall,7,7,7,7,7,7,7,6,6,3,3,3,4,4,4,4,4,4,0,9,9,9,6,2,9,5,9,3,3,3,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,9,6,2,9,5,9,9,5,9,2,2,2,2,2,2,2,1,1,False,False,False,False,False,False,False,False,False
Wall,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,5,5,9,5,9,9,5,9,9,7,8,2,2,2,2,1,1,1,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,9,5,9,9,7,8,9,1,0,2,1,1,1,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,7,8,9,1,0,0,3,2,1,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,0,0,3,2,2,3,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,4,4,0,3,2,2,3,0,0,0,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,6,6,6,6,6,5,5,5,5,4,4,4,4,4,2,3,0,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,0,0,0,0,8,0,5,8,1,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,8,0,5,8,1,9,2,5,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5,8,1,9,2,5,2,4,6,2,2,2,2,2,2,2,2,1,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,9,2,5,2,4,6,9,4,9,2,2,2,2,2,1,1,1,1,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,5,5,2,4,6,9,4,9,9,9,9,2,2,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,9,4,9,9,9,9,9,1,9,1,1,1,1,1,1,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,1,9,9,7,4,1,1,1,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,9,9,7,4,5,2,1,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,7,4,5,2,1,9,6,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,9,6,0,0,2,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,9,6,0,0,2,0,4,2,0,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,4,4,4,0,2,0,4,2,0,5,0,1,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,4,2,0,5,0,1,9,8,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Door_Start,6,6,6,6,6,5,3,5,8,4,4,4,4,4,5,6,5,2,5,0,1,9,8,9,9,0,0,2,2,2,2,2,2,3,3,2,False,False,False,False,False,False,False,False,False
Door,6,6,5,3,5,8,8,8,8,4,4,5,6,5,2,3,3,3,9,8,9,9,0,0,9,9,2,2,2,2,3,3,2,2,2,1,False,False,False,False,False,False,False,False,False
Door,3,5,8,8,8,8,7,7,7,6,5,2,3,3,3,3,3,3,9,0,0,9,9,2,9,0,9,3,3,2,2,2,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,8,8,8,7,7,7,7,7,6,3,3,3,3,3,3,3,4,4,9,9,2,9,0,9,9,9,9,2,2,1,1,1,1,0,0,0,False,False,False,False,False,False,False,False,False
Door,7,7,7,7,7,6,6,6,6,3,3,3,3,4,4,4,4,4,9,0,9,9,9,9,9,9,9,1,1,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Door,7,7,6,6,6,6,6,6,5,3,4,4,4,4,4,4,4,5,9,9,9,9,9,9,9,5,9,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,9,9,9,9,5,9,9,1,9,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Door,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,6,9,5,9,9,1,9,9,9,9,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,5,5,5,4,3,2,0,5,5,5,5,5,6,7,7,9,9,1,9,9,9,9,9,9,9,0,0,0,0,0,1,1,2,2,False,False,False,False,False,False,False,False,False
Wall,5,5,4,3,2,0,5,4,2,5,5,6,7,7,9,5,6,7,9,9,9,9,9,9,0,9,9,0,0,1,1,2,2,3,3,3,False,False,False,False,False,False,False,False,False
Door_Start,3,2,0,5,4,2,3,3,3,7,7,9,5,6,7,6,6,7,9,9,9,0,9,9,0,9,9,1,2,2,3,3,3,4,4,5,False,False,False,False,False,False,False,False,False
Door,5,4,2,3,3,3,7,7,6,5,6,7,6,6,7,3,3,4,0,9,9,0,9,9,0,9,9,3,3,3,4,4,5,4,4,4,False,False,False,False,False,False,False,False,False
Door,3,3,3,7,7,6,6,6,6,6,6,7,3,3,4,4,4,4,0,9,9,0,9,9,2,9,9,4,4,5,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,7,7,6,6,6,6,6,6,6,3,3,4,4,4,4,4,4,4,0,9,9,2,9,9,9,9,4,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,2,9,9,9,9,4,8,2,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,5,5,9,9,4,8,2,9,9,3,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,8,2,9,9,3,9,9,3,7,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,3,9,9,3,7,9,2,9,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Door_Passed,5,5,5,5,5,5,4,4,0,5,5,5,5,5,5,6,6,9,9,3,7,9,2,9,9,9,9,4,4,4,4,4,4,4,5,5,False,False,False,False,False,False,False,False,False
Wall,5,5,5,4,4,0,4,4,3,5,5,5,6,6,9,6,6,7,9,2,9,9,9,9,0,9,9,4,4,4,4,5,5,6,6,6,False,False,False,False,False,False,False,False,False
Wall,4,4,0,4,4,3,4,4,5,6,6,9,6,6,7,6,6,5,9,9,9,0,9,9,0,0,0,4,5,5,6,6,6,7,7,7,False,False,False,False,False,False,False,False,False
Wall,4,4,3,4,4,5,5,5,6,6,6,7,6,6,5,5,5,4,0,9,9,0,0,0,0,0,0,6,6,6,7,7,7,7,7,7,False,False,False,False,False,False,False,False,False
Wall,4,4,5,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,0,0,0,0,0,0,0,6,0,7,7,7,7,7,7,7,7,7,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,0,0,0,0,6,0,0,2,6,7,7,7,7,7,7,7,6,6,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,0,6,0,0,2,6,5,9,6,7,7,7,7,6,6,6,6,6,False,False,False,False,False,False,False,False,False
